# manifest.tsv — generated by extract_all_labels.py
# Columns: transcript_id, fasta_length, label_file, validation_ok, warnings
ENST00000043402.8	26904	labels/ENST00000043402.8_labels.txt	True	OK
ENST00000215727.10	13608	labels/ENST00000215727.10_labels.txt	True	OK
ENST00000215730.12	32208	labels/ENST00000215730.12_labels.txt	True	OK
ENST00000215742.9	3015	labels/ENST00000215742.9_labels.txt	True	OK
ENST00000215832.11	107989	labels/ENST00000215832.11_labels.txt	True	OK
ENST00000248879.8	5823	labels/ENST00000248879.8_labels.txt	True	OK
ENST00000248958.5	1998	labels/ENST00000248958.5_labels.txt	True	OK
ENST00000252136.12	5352	labels/ENST00000252136.12_labels.txt	True	OK
ENST00000255882.11	151121	labels/ENST00000255882.11_labels.txt	True	OK
ENST00000263205.11	80010	labels/ENST00000263205.11_labels.txt	True	OK
ENST00000263207.8	46928	labels/ENST00000263207.8_labels.txt	True	OK
ENST00000263212.10	33424	labels/ENST00000263212.10_labels.txt	True	OK
ENST00000292729.12	13631	labels/ENST00000292729.12_labels.txt	True	OK
ENST00000292733.11	80031	labels/ENST00000292733.11_labels.txt	True	OK
ENST00000292748.7	5656	labels/ENST00000292748.7_labels.txt	True	OK
ENST00000292778.11	1934	labels/ENST00000292778.11_labels.txt	True	OK
ENST00000292779.4	4570	labels/ENST00000292779.4_labels.txt	True	OK
ENST00000320602.11	14503	labels/ENST00000320602.11_labels.txt	True	OK
ENST00000327374.9	46055	labels/ENST00000327374.9_labels.txt	True	OK
ENST00000328879.9	54277	labels/ENST00000328879.9_labels.txt	True	OK
ENST00000329949.3	2404	labels/ENST00000329949.3_labels.txt	True	OK
ENST00000331821.8	9851	labels/ENST00000331821.8_labels.txt	True	OK
ENST00000334554.12	16204	labels/ENST00000334554.12_labels.txt	True	OK
ENST00000335025.12	34007	labels/ENST00000335025.12_labels.txt	True	OK
ENST00000337471.8	52835	labels/ENST00000337471.8_labels.txt	True	OK
ENST00000339468.8	38259	labels/ENST00000339468.8_labels.txt	True	OK
ENST00000342192.9	56321	labels/ENST00000342192.9_labels.txt	True	OK
ENST00000351989.8	31632	labels/ENST00000351989.8_labels.txt	True	OK
ENST00000354336.8	36341	labels/ENST00000354336.8_labels.txt	True	OK
ENST00000357179.10	25763	labels/ENST00000357179.10_labels.txt	True	OK
ENST00000357502.5	13521	labels/ENST00000357502.5_labels.txt	True	OK
ENST00000360806.9	15300	labels/ENST00000360806.9_labels.txt	True	OK
ENST00000363187.1	301	labels/ENST00000363187.1_labels.txt	True	OK
ENST00000364115.1	91	labels/ENST00000364115.1_labels.txt	True	OK
ENST00000365046.1	111	labels/ENST00000365046.1_labels.txt	True	OK
ENST00000382932.3	3844	labels/ENST00000382932.3_labels.txt	True	OK
ENST00000382974.6	79227	labels/ENST00000382974.6_labels.txt	True	OK
ENST00000384613.1	103	labels/ENST00000384613.1_labels.txt	True	OK
ENST00000384843.1	97	labels/ENST00000384843.1_labels.txt	True	OK
ENST00000385018.1	82	labels/ENST00000385018.1_labels.txt	True	OK
ENST00000385288.3	82	labels/ENST00000385288.3_labels.txt	True	OK
ENST00000390813.1	78	labels/ENST00000390813.1_labels.txt	True	OK
ENST00000397495.8	27956	labels/ENST00000397495.8_labels.txt	True	OK
ENST00000398042.6	44855	labels/ENST00000398042.6_labels.txt	True	OK
ENST00000398241.3	3696	labels/ENST00000398241.3_labels.txt	True	OK
ENST00000398793.6	25720	labels/ENST00000398793.6_labels.txt	True	OK
ENST00000398822.7	98641	labels/ENST00000398822.7_labels.txt	True	OK
ENST00000398831.8	31896	labels/ENST00000398831.8_labels.txt	True	OK
ENST00000398873.4	1869	labels/ENST00000398873.4_labels.txt	True	OK
ENST00000399133.2	2420	labels/ENST00000399133.2_labels.txt	True	OK
ENST00000399163.6	16196	labels/ENST00000399163.6_labels.txt	True	OK
ENST00000399167.6	16253	labels/ENST00000399167.6_labels.txt	True	OK
ENST00000399213.2	13700	labels/ENST00000399213.2_labels.txt	True	OK
ENST00000399807.7	44774	labels/ENST00000399807.7_labels.txt	True	OK
ENST00000400451.7	14305	labels/ENST00000400451.7_labels.txt	True	OK
ENST00000401443.5	12029	labels/ENST00000401443.5_labels.txt	True	OK
ENST00000401833.5	44226	labels/ENST00000401833.5_labels.txt	True	OK
ENST00000401886.5	48345	labels/ENST00000401886.5_labels.txt	True	OK
ENST00000402752.5	9932	labels/ENST00000402752.5_labels.txt	True	OK
ENST00000403503.1	31674	labels/ENST00000403503.1_labels.txt	True	OK
ENST00000403586.5	3832	labels/ENST00000403586.5_labels.txt	True	OK
ENST00000403682.7	13280	labels/ENST00000403682.7_labels.txt	True	OK
ENST00000403707.7	5518	labels/ENST00000403707.7_labels.txt	True	OK
